# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=289] cpu=0 bench=complex_updates cycles=4025 instructions=2553 cache-misses=4
[sample=290] cpu=0 bench=complex_updates cycles=3694 instructions=2553 cache-misses=3
[sample=291] cpu=0 bench=complex_updates cycles=4007 instructions=2553 cache-misses=5
[sample=292] cpu=0 bench=complex_updates cycles=3666 instructions=2553 cache-misses=3
[sample=293] cpu=0 bench=complex_updates cycles=3615 instructions=2553 cache-misses=4
[sample=294] cpu=0 bench=complex_updates cycles=3574 instructions=2553 cache-misses=2
[sample=295] cpu=0 bench=complex_updates cycles=3627 instructions=2553 cache-misses=5
[sample=296] cpu=0 bench=complex_updates cycles=4083 instructions=2553 cache-misses=4
[sample=297] cpu=0 bench=complex_updates cycles=3798 instructions=2553 cache-misses=1
[sample=298] cpu=0 bench=complex_updates cycles=3907 instructions=2553 cache-misses=5
[sample=299] cpu=0 bench=complex_updates cycles=3589 instructions=2553 cache-misses=2
